,,,,,,valid,valid,unique,unique,novel,novel,valid%,valid%,unique%,unique%,novel%,novel%
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
aug,notation,hl,hu,bs,lr,,,,,,,,,,,,
1,SELFIES,2,256,256,0.001,6000.0,0.0,5998.8,1.7888543819998317,5998.6,1.6733200530681511,1.0,0.0,0.9998000000000001,0.0002981423969999826,0.9999666666666667,7.453559924998478e-05
1,SELFIES,2,256,512,0.001,5999.8,0.44721359549995787,5999.0,1.7320508075688772,5998.0,2.345207879911715,0.9999666666666667,7.453559924998478e-05,0.9998666666666667,0.00029814239699998876,0.9998332833027579,0.00011792976379024531
1,SELFIES,2,512,256,0.001,6000.0,0.0,5998.0,1.4142135623730951,5978.4,3.646916505762094,1.0,0.0,0.9996666666666666,0.00023570226039552913,0.9967322328330777,0.0005351389311133198
1,SELFIES,2,512,512,0.001,6000.0,0.0,5998.8,1.7888543819998317,5970.8,2.280350850198276,1.0,0.0,0.9998000000000001,0.0002981423969999826,0.9953324995515889,0.0005519291165318931
1,SELFIES,3,256,256,0.001,5999.8,0.4472135954999579,5999.4,0.8944271909999159,5998.2,1.6431676725154984,0.9999666666666667,7.453559924998478e-05,0.9999333333333332,0.00014907119849996955,0.9997999722157391,0.000182605889078621
1,SELFIES,3,256,512,0.001,5999.4,0.8944271909999159,5999.4,0.8944271909999159,5998.4,1.51657508881031,0.9999,0.00014907119849996958,1.0,0.0,0.9998333333333334,0.00028867513459482916
1,SELFIES,3,512,256,0.001,6000.0,0.0,5999.4,1.3416407864998738,5986.0,9.82344135219425,1.0,0.0,0.9999,0.00022360679774995434,0.9977663831915958,0.0015751130657677657
1,SELFIES,3,512,512,0.001,6000.0,0.0,5999.6,0.8944271909999159,5978.4,8.988882021697693,1.0,0.0,0.9999333333333332,0.00014907119849996958,0.9964663999110815,0.0014644985541428734
1,SMILES,2,256,256,0.001,3782.0,996.6471291284594,3781.2,996.1875827373076,3776.4,993.9860663007304,0.6303333333333334,0.16610785485474322,0.9998110922336991,0.000258958603000435,0.9988139200587064,0.0004528105266379803
1,SMILES,2,256,512,0.001,4145.2,137.96992425887606,4144.8,138.81174301909763,4138.4,137.07224372570838,0.6908666666666667,0.022994987376479342,0.9998977766419627,0.00022857837745972952,0.9984661625568277,0.0007731412646481065
1,SMILES,2,512,256,0.001,4613.0,297.3491214044528,4607.8,297.46041753483775,4535.0,272.8708485712609,0.7688333333333334,0.04955818690074214,0.9988673253818762,0.0005110580709313848,0.9844255870595949,0.005530642014001767
1,SMILES,2,512,512,0.001,4928.6,71.47237228468074,4915.0,67.39807118901845,4768.6,60.2768612321511,0.8214333333333332,0.011912062047446773,0.9972498427665869,0.001095151004048227,0.9702253733089528,0.0015189042000787636
1,SMILES,3,256,256,0.001,4046.0,1254.4271601013747,4044.8,1253.7877412066207,4036.8,1249.5860114453908,0.6743333333333335,0.20907119335022908,0.9997376133503749,0.00039872897247881134,0.9982077487546513,0.0009510424207913556
1,SMILES,3,256,512,0.001,4511.0,147.86480311419618,4509.4,147.09112821649035,4499.8,142.60329589459005,0.7518333333333332,0.02464413385236603,0.9996496659629759,0.00019596718127334395,0.9978958715814068,0.0010063720824494478
1,SMILES,3,512,256,0.001,5117.4,85.72222582271182,5106.8,83.6522563951505,4996.0,71.36876067300034,0.8529,0.014287037637118655,0.9979336714279535,0.0007278374788636609,0.9783329093131468,0.003373043225307993
1,SMILES,3,512,512,0.001,5094.2,50.73657457889722,5082.2,50.25136814057902,4908.2,61.840116429385866,0.8490333333333334,0.008456095763149532,0.9976452839821695,0.0008726798057400097,0.9657439416407939,0.003405886639938033
1,fragSMILES,2,256,256,0.001,4729.4,177.70002813730787,4728.0,177.11013522664365,4696.6,173.36897069545057,0.7882333333333332,0.029616671356217966,0.9997078464106846,0.0006532752855800943,0.9933785464693056,0.0020868114706501825
1,fragSMILES,2,256,512,0.001,5005.2,68.50328459278431,5001.0,67.09321873334144,4942.8,64.1342342279067,0.8342,0.011417214098797389,0.999164212683001,0.0009774418582561284,0.9883693549072273,0.0024338788049452324
1,fragSMILES,2,512,256,0.001,5200.8,88.94211600810945,5197.2,87.32525407921811,5112.6,83.38045334489374,0.8668000000000001,0.014823686001351585,0.9993118748363135,0.0003088864397055816,0.983732453068097,0.0032143813351472295
1,fragSMILES,2,512,512,0.001,5282.8,23.82645588416372,5270.2,25.163465580082566,5114.8,43.860004559963286,0.8804666666666666,0.0039710759806939645,0.9976140226827919,0.0004985168387514098,0.9705010390150839,0.004209344564817878
1,fragSMILES,3,256,256,0.001,4568.0,105.85131080907784,4566.6,106.73706010566339,4534.0,107.3009785603095,0.7613333333333333,0.017641885134846314,0.9996899548341794,0.0004840683884498424,0.9928565906808482,0.0012406617715966753
1,fragSMILES,3,256,512,0.001,4802.2,85.80617693383152,4799.4,84.15640201434469,4738.4,76.2286035553584,0.8003666666666668,0.014301029488971922,0.9994217252557428,0.0004664602974314978,0.9873104541686665,0.0018037798999969723
1,fragSMILES,3,512,256,0.001,5048.8,58.04050309912897,5041.6,55.410287853430255,4935.4,48.0551766202144,0.8414666666666667,0.009673417183188166,0.9985788368276618,0.0009421339673436766,0.9789502689205815,0.0033631983748100345
1,fragSMILES,3,512,512,0.001,5153.8,48.22032766375608,5140.0,43.57177985806869,4947.4,35.871994647635645,0.8589666666666667,0.008036721277292689,0.9973300815161646,0.0019109081193762006,0.9625411753941364,0.003291462427580964
1,t-SMILES,2,256,256,0.001,6000.0,0.0,5756.4,78.73245836375237,5755.4,77.7000643500377,1.0,0.0,0.9594000000000001,0.013122076393958716,0.9998282672162115,0.00038400617851616794
1,t-SMILES,2,256,512,0.001,6000.0,0.0,5777.8,53.79776947049013,5774.8,53.33572911285642,1.0,0.0,0.9629666666666667,0.00896629491174835,0.999481357083765,0.00024419750365851684
1,t-SMILES,2,512,256,0.001,6000.0,0.0,5891.6,17.18429515575195,5876.2,17.035257556021865,1.0,0.0,0.9819333333333333,0.0028640491926253423,0.9973866278385447,0.0010942497476831917
1,t-SMILES,2,512,512,0.001,6000.0,0.0,5882.166666666667,11.788412389574207,5857.0,12.280065146407,1.0,0.0,0.9803611111111111,0.00196473539826238,0.9957214878131384,0.0005209940026642116
1,t-SMILES,3,256,256,0.001,6000.0,0.0,5870.0,24.166091947189145,5867.2,24.07695994098923,1.0,0.0,0.9783333333333333,0.004027681991198173,0.9995230877223072,0.0003491410688369555
1,t-SMILES,3,256,512,0.001,6000.0,0.0,5840.2,13.179529581893277,5837.4,12.361229712289953,1.0,0.0,0.9733666666666666,0.002196588263648879,0.9995208339288386,0.0002536053549317774
1,t-SMILES,3,512,256,0.001,6000.0,0.0,5900.2,19.149412523625887,5881.6,16.890825912311097,1.0,0.0,0.9833666666666667,0.0031915687539376524,0.9968489414830654,0.001072452144617143
1,t-SMILES,3,512,512,0.001,6000.0,0.0,5900.2,11.476062042355819,5874.0,6.819090848492928,1.0,0.0,0.9833666666666666,0.0019126770070593047,0.9955610952344376,0.00127543017192472
5,SELFIES,2,256,256,0.001,6000.0,0.0,6000.0,0.0,5999.2,1.0954451150103321,1.0,0.0,1.0,0.0,0.9998666666666667,0.00018257418583503526
5,SELFIES,2,256,512,0.001,5999.8,0.4472135954999579,5998.6,1.3416407864998738,5998.6,1.3416407864998738,0.9999666666666667,7.453559924998478e-05,0.9997999888870368,0.0001825843319452961,1.0,0.0
5,SELFIES,2,512,256,0.001,6000.0,0.0,6000.0,0.0,5997.4,1.1401754250991378,1.0,0.0,1.0,0.0,0.9995666666666667,0.00019002923751653615
5,SELFIES,2,512,512,0.001,6000.0,0.0,5999.6,0.8944271909999159,5998.2,1.9235384061671346,1.0,0.0,0.9999333333333332,0.00014907119849996955,0.9997666333222185,0.00019008773317200062
5,SELFIES,3,256,256,0.001,5999.8,0.4472135954999579,5999.8,0.4472135954999579,5999.4,0.8944271909999159,0.9999666666666667,7.453559924998478e-05,1.0,0.0,0.9999333277768517,9.129470197175481e-05
5,SELFIES,3,256,512,0.001,5999.8,0.4472135954999579,5999.8,0.4472135954999579,5999.2,0.8366600265340756,0.9999666666666667,7.453559924998478e-05,1.0,0.0,0.9998999944435184,9.12921659726379e-05
5,SELFIES,3,512,256,0.001,6000.0,0.0,5999.6,0.8944271909999157,5997.8,0.8366600265340756,1.0,0.0,0.9999333333333332,0.00014907119849996958,0.9996999888851839,0.0001394300545917345
5,SELFIES,3,512,512,0.001,6000.0,0.0,6000.0,0.0,5999.4,0.8944271909999159,1.0,0.0,1.0,0.0,0.9999,0.00014907119849996955
5,SMILES,2,256,256,0.001,4912.8,114.375259562547,4912.8,114.375259562547,4911.0,114.00219296136369,0.8188000000000001,0.0190625432604245,1.0,0.0,0.9996348982852474,8.636244818155889e-05
5,SMILES,2,256,512,0.001,4732.8,76.70202083387373,4731.8,75.85973899243261,4730.4,76.0381483204319,0.7888000000000001,0.012783670138978935,0.9997910127071356,0.0002953680827462588,0.9997035775336439,0.0001903126560368229
5,SMILES,2,512,256,0.001,5295.6,43.866843971272885,5295.2,43.20532374603852,5279.2,40.38192665042123,0.8826,0.007311140661878792,0.9999252895031752,0.00016705774953306782,0.9969818886760884,0.0008640582388318475
5,SMILES,2,512,512,0.001,5222.2,54.04350099688213,5222.2,54.04350099688213,5212.6,54.96180491941654,0.8703666666666667,0.009007250166147014,1.0,0.0,0.9981601923611196,0.0005575434202310122
5,SMILES,3,256,256,0.001,5170.2,25.44995088403905,5170.2,25.44995088403905,5166.8,26.56501458685841,0.8616999999999999,0.004241658480673173,1.0,0.0,0.999341618202245,0.0005228400721103232
5,SMILES,3,256,512,0.001,5022.2,45.99673901484756,5022.2,45.99673901484756,5019.6,44.66878104448341,0.8370333333333333,0.0076661231691412335,1.0,0.0,0.9994842442508517,0.0004083387667386414
5,SMILES,3,512,256,0.001,5471.4,48.8804664462196,5471.4,48.8804664462196,5454.4,47.56889740155851,0.9118999999999999,0.008146744407703275,1.0,0.0,0.9968946567729244,0.0007083046029296095
5,SMILES,3,512,512,0.001,5385.2,32.42221460665511,5385.2,32.42221460665511,5374.4,29.988331063932186,0.8975333333333333,0.005403702434442534,1.0,0.0,0.9979966804811126,0.0005954360238732036
5,fragSMILES,2,256,256,0.001,5232.0,65.06535176267012,5225.4,69.25893444170218,5176.8,71.40868294542338,0.8720000000000001,0.01084422529377833,0.9987304446746128,0.0010128632790839208,0.99069471481012,0.0017206934017127127
5,fragSMILES,2,256,512,0.001,5073.4,63.049980174461595,5070.4,61.79239435399797,5047.0,62.281618476080084,0.8455666666666666,0.01050833002907693,0.9994111919113691,0.0005850295389473653,0.9953838116654694,0.0008209027697942261
5,fragSMILES,2,512,256,0.001,5415.6,56.09188889670235,5411.0,56.89903338370521,5302.4,57.2127608143498,0.9026,0.009348648149450363,0.9991493745544752,0.0005811483466175694,0.9799306238041912,0.002775843798558264
5,fragSMILES,2,512,512,0.001,5315.8,70.53864189222811,5313.0,68.94563075351476,5244.4,66.42514584101416,0.8859666666666668,0.01175644031537134,0.9994764069316734,0.0004231195736897082,0.987092418258052,0.0016711701307116217
5,fragSMILES,3,256,256,0.001,5153.8,27.489998181156725,5148.6,29.177045772319033,5089.0,30.199337741083,0.8589666666666667,0.00458166636352613,0.9989898079999915,0.000770442898012354,0.9884243216494891,0.0019300353890894593
5,fragSMILES,3,256,512,0.001,4928.0,55.82562135793923,4924.8,57.32102581077906,4894.6,52.73329119256639,0.8213333333333332,0.009304270226323214,0.999347999433901,0.0006166112892845595,0.9938762242843406,0.0014667592634527995
5,fragSMILES,3,512,256,0.001,5392.4,31.832373458477772,5384.8,32.414502926930716,5237.2,30.268795813510653,0.8987333333333334,0.005305395576412977,0.9985902547271822,0.0007171330029876131,0.972594711334376,0.0031724396049998362
5,fragSMILES,3,512,512,0.001,5201.6,60.72314221118667,5193.0,58.159264094381385,5115.6,63.95936209813228,0.8669333333333334,0.010120523701864448,0.9983513194369857,0.0008876221498931773,0.985084122203958,0.001528395244089782
5,t-SMILES,2,256,256,0.001,6000.0,0.0,5889.4,15.485477067239485,5879.4,14.774978849392646,1.0,0.0,0.9815666666666667,0.002580912844539916,0.9983024039921385,0.0005747750849244078
5,t-SMILES,2,256,512,0.001,6000.0,0.0,5869.4,11.502173707608488,5862.6,10.922453936730518,1.0,0.0,0.9782333333333334,0.0019170289512680846,0.9988416039412694,0.00014074956011429058
5,t-SMILES,2,512,256,0.001,6000.0,0.0,5927.2,12.357184145265457,5885.0,13.397761006974262,1.0,0.0,0.9878666666666666,0.0020595306908776016,0.9928800552463055,0.0005155045492945904
5,t-SMILES,2,512,512,0.001,6000.0,0.0,5920.2,10.825894882179487,5877.6,12.660963628413123,1.0,0.0,0.9867000000000001,0.001804315813696578,0.9928044974448594,0.0013327033137290828
5,t-SMILES,3,256,256,0.001,6000.0,0.0,5933.4,19.346834366376324,5923.0,17.592612085759182,1.0,0.0,0.9889000000000001,0.0032244723943960748,0.9982481485242124,0.000738161494053381
5,t-SMILES,3,256,512,0.001,6000.0,0.0,5916.4,8.44393273303382,5909.8,11.03177229641729,1.0,0.0,0.9860666666666666,0.0014073221221723225,0.9988840082273855,0.0005693999580205541
5,t-SMILES,3,512,256,0.001,6000.0,0.0,5937.8,12.336936410632909,5881.4,13.794926603646719,1.0,0.0,0.9896333333333333,0.002056156068438805,0.9905013074023776,0.0007805163751733264
5,t-SMILES,3,512,512,0.001,6000.0,0.0,5938.4,7.436396977031283,5890.2,8.167006795638168,1.0,0.0,0.9897333333333334,0.0012393994961718783,0.9918833623422761,0.0006447742199447566
