dataset     ,grisoni         ,grisoni       ,grisoni         ,grisoni         ,grisoni         ,grisoni        ,grisoni       ,grisoni         ,grisoni       ,grisoni       ,grisoni       ,grisoni         ,grisoni       ,grisoni         ,grisoni         ,grisoni         ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni         ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni         ,grisoni         ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni       ,grisoni         ,grisoni       ,grisoni         ,grisoni         ,grisoni       ,grisoni       ,grisoni
aug         ,5.0             ,5.0           ,5.0             ,5.0             ,5.0             ,5.0            ,5.0           ,5.0             ,5.0           ,5.0           ,5.0           ,5.0             ,5.0           ,5.0             ,5.0             ,5.0             ,5.0           ,5.0           ,5.0           ,5.0           ,5.0           ,5.0           ,5.0           ,5.0           ,nan             ,nan           ,nan           ,nan           ,nan           ,nan           ,nan             ,nan             ,nan           ,nan           ,nan           ,nan           ,nan           ,nan           ,nan             ,nan           ,nan             ,nan             ,nan           ,nan           ,nan
notation    ,SELFIES         ,SELFIES       ,SELFIES         ,SELFIES         ,SELFIES         ,SELFIES        ,SELFIES       ,SELFIES         ,SMILES        ,SMILES        ,SMILES        ,SMILES          ,SMILES        ,SMILES          ,SMILES          ,SMILES          ,fragSMILES    ,fragSMILES    ,fragSMILES    ,fragSMILES    ,fragSMILES    ,fragSMILES    ,fragSMILES    ,fragSMILES    ,SELFIES         ,SELFIES       ,SELFIES       ,SELFIES       ,SELFIES       ,SELFIES       ,SELFIES         ,SMILES          ,SMILES        ,SMILES        ,SMILES        ,SMILES        ,SMILES        ,SMILES        ,fragSMILES      ,fragSMILES    ,fragSMILES      ,fragSMILES      ,fragSMILES    ,fragSMILES    ,fragSMILES
hl          ,2               ,2             ,2               ,2               ,3               ,3              ,3             ,3               ,2             ,2             ,2             ,2               ,3             ,3               ,3               ,3               ,2             ,2             ,2             ,2             ,3             ,3             ,3             ,3             ,2               ,2             ,2             ,3             ,3             ,3             ,3               ,2               ,2             ,2             ,3             ,3             ,3             ,3             ,2               ,2             ,2               ,3               ,3             ,3             ,3
hu          ,256             ,256           ,512             ,512             ,256             ,256            ,512           ,512             ,256           ,256           ,512           ,512             ,256           ,256             ,512             ,512             ,256           ,256           ,512           ,512           ,256           ,256           ,512           ,512           ,256             ,512           ,512           ,256           ,256           ,512           ,512             ,256             ,512           ,512           ,256           ,256           ,512           ,512           ,256             ,512           ,512             ,256             ,256           ,512           ,512
es          ,nan             ,nan           ,nan             ,nan             ,nan             ,nan            ,nan           ,nan             ,nan           ,nan           ,nan           ,nan             ,nan           ,nan             ,nan             ,nan             ,300.0         ,300.0         ,300.0         ,300.0         ,300.0         ,300.0         ,300.0         ,300.0         ,nan             ,nan           ,nan           ,nan           ,nan           ,nan           ,nan             ,nan             ,nan           ,nan           ,nan           ,nan           ,nan           ,nan           ,300.0           ,300.0         ,300.0           ,300.0           ,300.0         ,300.0         ,300.0
lr          ,0.001           ,0.001         ,0.001           ,0.001           ,0.001           ,0.001          ,0.001         ,0.001           ,0.001         ,0.001         ,0.001         ,0.001           ,0.001         ,0.001           ,0.001           ,0.001           ,0.001         ,0.001         ,0.001         ,0.001         ,0.001         ,0.001         ,0.001         ,0.001         ,0.001           ,0.001         ,0.001         ,0.001         ,0.001         ,0.001         ,0.001           ,0.001           ,0.001         ,0.001         ,0.001         ,0.001         ,0.001         ,0.001         ,0.001           ,0.001         ,0.001           ,0.001           ,0.001         ,0.001         ,0.001
bs          ,256             ,512           ,256             ,512             ,256             ,512            ,256           ,512             ,256           ,512           ,256           ,512             ,256           ,512             ,256             ,512             ,256           ,512           ,256           ,512           ,256           ,512           ,256           ,512           ,512             ,256           ,512           ,256           ,512           ,256           ,512             ,512             ,256           ,512           ,256           ,512           ,256           ,512           ,512             ,256           ,512             ,256             ,512           ,256           ,512
amount      ,6000            ,6000          ,6000            ,6000            ,6000            ,6000           ,6000          ,6000            ,6000          ,6000          ,6000          ,6000            ,6000          ,6000            ,6000            ,6000            ,6000          ,6000          ,6000          ,6000          ,6000          ,6000          ,6000          ,6000          ,6000            ,6000          ,6000          ,6000          ,6000          ,6000          ,6000            ,6000            ,6000          ,6000          ,6000          ,6000          ,6000          ,6000          ,6000            ,6000          ,6000            ,6000            ,6000          ,6000          ,6000
epoch       ,3               ,3             ,3               ,3               ,3               ,3              ,3             ,3               ,3             ,3             ,3             ,3               ,3             ,3               ,3               ,3               ,4             ,4             ,4             ,4             ,4             ,4             ,4             ,4             ,10              ,6             ,10            ,6             ,10            ,6             ,10              ,10              ,6             ,10            ,6             ,10            ,6             ,10            ,16              ,8             ,16              ,8               ,16            ,8             ,16
T           ,1.0             ,1.0           ,1.0             ,1.0             ,1.0             ,1.0            ,1.0           ,1.0             ,1.0           ,1.0           ,1.0           ,1.0             ,1.0           ,1.0             ,1.0             ,1.0             ,1.0           ,1.0           ,1.0           ,1.0           ,1.0           ,1.0           ,1.0           ,1.0           ,1.0             ,1.0           ,1.0           ,1.0           ,1.0           ,1.0           ,1.0             ,1.0             ,1.0           ,1.0           ,1.0           ,1.0           ,1.0           ,1.0           ,1.0             ,1.0           ,1.0             ,1.0             ,1.0           ,1.0           ,1.0
FCD/Test    ,11.9 ± 0.7      ,7.1 ± 0.3     ,3.4 ± 0.1       ,3.9 ± 0.1       ,5.5 ± 0.3       ,11.9 ± 0.4     ,9.6 ± 0.5     ,9.9 ± 0.3       ,7.9 ± 0.4     ,1.4 ± 0.04    ,0.99 ± 0.07   ,1.04 ± 0.04     ,1.22 ± 0.04   ,8.1 ± 0.3       ,8.1 ± 0.3       ,8.2 ± 0.3       ,7.7 ± 0.4     ,0.91 ± 0.09   ,0.72 ± 0.06   ,0.76 ± 0.07   ,0.79 ± 0.07   ,8.1 ± 0.4     ,8.3 ± 0.2     ,8.1 ± 0.3     ,9.5 ± 0.2       ,6.0 ± 0.4     ,5.5 ± 0.2     ,10.0 ± 0.8    ,14.2 ± 0.4    ,13.0 ± 1.0    ,11.2 ± 0.7      ,1.27 ± 0.06     ,1.5 ± 0.2     ,0.8 ± 0.1     ,2.4 ± 0.7     ,7.5 ± 0.5     ,8.6 ± 0.9     ,8.0 ± 0.4     ,0.83 ± 0.04     ,1.1 ± 0.2     ,0.69 ± 0.03     ,1.04 ± 0.09     ,7.7 ± 0.2     ,7.9 ± 1.0     ,8.1 ± 0.1
SNN/Test    ,0.346 ± 0.005   ,0.334 ± 0.002 ,0.375 ± 0.001   ,0.366 ± 0.001   ,0.349 ± 0.005   ,0.345 ± 0.004  ,0.371 ± 0.002 ,0.366 ± 0.004   ,0.395 ± 0.006 ,0.395 ± 0.004 ,0.428 ± 0.001 ,0.422 ± 0.002   ,0.406 ± 0.002 ,0.395 ± 0.003   ,0.4 ± 0.005     ,0.401 ± 0.004   ,0.408 ± 0.004 ,0.451 ± 0.006 ,0.499 ± 0.006 ,0.479 ± 0.004 ,0.474 ± 0.004 ,0.405 ± 0.004 ,0.403 ± 0.003 ,0.405 ± 0.002 ,0.328 ± 0.002   ,0.371 ± 0.007 ,0.377 ± 0.005 ,0.327 ± 0.007 ,0.333 ± 0.003 ,0.348 ± 0.009 ,0.36 ± 0.007    ,0.419 ± 0.004   ,0.46 ± 0.02   ,0.486 ± 0.003 ,0.42 ± 0.02   ,0.408 ± 0.006 ,0.407 ± 0.009 ,0.408 ± 0.002 ,0.474 ± 0.003   ,0.49 ± 0.008  ,0.51 ± 0.002    ,0.458 ± 0.003   ,0.411 ± 0.002 ,0.413 ± 0.009 ,0.41 ± 0.001
Scaf/Test   ,0.21 ± 0.04     ,0.2 ± 0.02    ,0.25 ± 0.02     ,0.23 ± 0.02     ,0.23 ± 0.03     ,0.21 ± 0.01    ,0.22 ± 0.02   ,0.2 ± 0.04      ,0.2 ± 0.02    ,0.23 ± 0.03   ,0.3 ± 0.04    ,0.29 ± 0.03     ,0.23 ± 0.03   ,0.21 ± 0.03     ,0.18 ± 0.05     ,0.19 ± 0.03     ,0.24 ± 0.03   ,0.36 ± 0.06   ,0.37 ± 0.02   ,0.36 ± 0.05   ,0.38 ± 0.03   ,0.21 ± 0.02   ,0.18 ± 0.03   ,0.19 ± 0.03   ,0.18 ± 0.01     ,0.25 ± 0.05   ,0.25 ± 0.04   ,0.19 ± 0.05   ,0.164 ± 0.009 ,0.18 ± 0.06   ,0.21 ± 0.03     ,0.27 ± 0.03     ,0.31 ± 0.07   ,0.38 ± 0.04   ,0.28 ± 0.08   ,0.25 ± 0.03   ,0.22 ± 0.08   ,0.21 ± 0.03   ,0.34 ± 0.02     ,0.41 ± 0.04   ,0.4 ± 0.03      ,0.35 ± 0.02     ,0.23 ± 0.03   ,0.23 ± 0.09   ,0.2 ± 0.03
FCD/TestSF  ,12.6 ± 0.7      ,13.3 ± 0.2    ,10.2 ± 0.2      ,10.7 ± 0.2      ,11.8 ± 0.3      ,12.6 ± 0.4     ,10.2 ± 0.5    ,10.4 ± 0.3      ,8.3 ± 0.4     ,8.4 ± 0.4     ,8.2 ± 0.4     ,7.9 ± 0.3       ,8.5 ± 0.5     ,8.4 ± 0.3       ,8.5 ± 0.3       ,8.5 ± 0.3       ,8.1 ± 0.4     ,8.3 ± 0.4     ,8.9 ± 0.2     ,8.8 ± 0.5     ,8.6 ± 0.3     ,8.5 ± 0.3     ,8.6 ± 0.2     ,8.5 ± 0.3     ,15.2 ± 0.2      ,12.5 ± 0.4    ,12.1 ± 0.3    ,15.7 ± 0.9    ,15.0 ± 0.4    ,14.0 ± 1.0    ,11.8 ± 0.7      ,8.2 ± 0.5       ,9.0 ± 1.0     ,8.3 ± 0.2     ,9.0 ± 2.0     ,7.9 ± 0.5     ,9.0 ± 0.9     ,8.3 ± 0.3     ,8.3 ± 0.4       ,7.7 ± 0.4     ,8.3 ± 0.3       ,8.1 ± 0.4       ,8.1 ± 0.2     ,8.3 ± 0.9     ,8.4 ± 0.1
SNN/TestSF  ,0.34 ± 0.005    ,0.332 ± 0.002 ,0.3639 ± 0.001  ,0.3565 ± 0.001  ,0.345 ± 0.003   ,0.339 ± 0.004  ,0.364 ± 0.002 ,0.36 ± 0.004    ,0.388 ± 0.005 ,0.385 ± 0.004 ,0.393 ± 0.003 ,0.395 ± 0.002   ,0.389 ± 0.003 ,0.389 ± 0.003   ,0.392 ± 0.004   ,0.394 ± 0.004   ,0.399 ± 0.003 ,0.397 ± 0.004 ,0.394 ± 0.002 ,0.395 ± 0.003 ,0.397 ± 0.003 ,0.396 ± 0.004 ,0.396 ± 0.002 ,0.397 ± 0.002 ,0.325 ± 0.002   ,0.348 ± 0.005 ,0.35 ± 0.004  ,0.323 ± 0.007 ,0.327 ± 0.002 ,0.341 ± 0.009 ,0.353 ± 0.006   ,0.397 ± 0.004   ,0.4 ± 0.01    ,0.403 ± 0.004 ,0.39 ± 0.02   ,0.4 ± 0.006   ,0.399 ± 0.007 ,0.4 ± 0.002   ,0.401 ± 0.002   ,0.405 ± 0.006 ,0.403 ± 0.003   ,0.401 ± 0.002   ,0.403 ± 0.002 ,0.405 ± 0.008 ,0.402 ± 0.002
Frag/TestSF ,0.94 ± 0.02     ,0.936 ± 0.006 ,0.95 ± 0.01     ,0.946 ± 0.005   ,0.946 ± 0.006   ,0.941 ± 0.006  ,0.954 ± 0.006 ,0.954 ± 0.004   ,0.949 ± 0.003 ,0.95 ± 0.002  ,0.95 ± 0.007  ,0.952 ± 0.006   ,0.953 ± 0.007 ,0.951 ± 0.004   ,0.948 ± 0.005   ,0.952 ± 0.004   ,0.953 ± 0.006 ,0.951 ± 0.005 ,0.95 ± 0.01   ,0.947 ± 0.009 ,0.951 ± 0.009 ,0.953 ± 0.006 ,0.95 ± 0.004  ,0.955 ± 0.006 ,0.93 ± 0.006    ,0.945 ± 0.005 ,0.945 ± 0.004 ,0.91 ± 0.01   ,0.932 ± 0.004 ,0.93 ± 0.02   ,0.944 ± 0.007   ,0.951 ± 0.006   ,0.944 ± 0.01  ,0.947 ± 0.005 ,0.95 ± 0.01   ,0.946 ± 0.005 ,0.95 ± 0.003  ,0.956 ± 0.005 ,0.95 ± 0.005    ,0.95 ± 0.01   ,0.947 ± 0.009   ,0.946 ± 0.01    ,0.95 ± 0.01   ,0.93 ± 0.04   ,0.951 ± 0.007
Scaf/TestSF ,0.04 ± 0.009    ,0.04 ± 0.02   ,0.05 ± 0.01     ,0.038 ± 0.008   ,0.04 ± 0.02     ,0.05 ± 0.02    ,0.05 ± 0.02   ,0.05 ± 0.02     ,0.053 ± 0.005 ,0.052 ± 0.007 ,0.06 ± 0.01   ,0.06 ± 0.01     ,0.06 ± 0.02   ,0.05 ± 0.02     ,0.06 ± 0.02     ,0.047 ± 0.009   ,0.05 ± 0.02   ,0.06 ± 0.03   ,0.04 ± 0.01   ,0.04 ± 0.01   ,0.06 ± 0.01   ,0.05 ± 0.01   ,0.05 ± 0.02   ,0.044 ± 0.006 ,0.04 ± 0.01     ,0.044 ± 0.009 ,0.05 ± 0.01   ,0.04 ± 0.02   ,0.04 ± 0.01   ,0.04 ± 0.02   ,0.06 ± 0.02     ,0.05 ± 0.03     ,0.05 ± 0.03   ,0.05 ± 0.03   ,0.05 ± 0.02   ,0.06 ± 0.02   ,0.05 ± 0.01   ,0.05 ± 0.01   ,0.039 ± 0.009   ,0.06 ± 0.02   ,0.04 ± 0.02     ,0.06 ± 0.01     ,0.05 ± 0.02   ,0.05 ± 0.02   ,0.04 ± 0.02
IntDiv      ,0.8812 ± 0.0008 ,0.883 ± 0.001 ,0.8764 ± 0.0006 ,0.8782 ± 0.0009 ,0.8808 ± 0.0009 ,0.882 ± 0.001  ,0.876 ± 0.001 ,0.8778 ± 0.0006 ,0.872 ± 0.001 ,0.871 ± 0.001 ,0.872 ± 0.001 ,0.8716 ± 0.0009 ,0.87 ± 0.001  ,0.8702 ± 0.0008 ,0.871 ± 0.0007  ,0.8703 ± 0.0009 ,0.87 ± 0.002  ,0.869 ± 0.002 ,0.869 ± 0.002 ,0.869 ± 0.003 ,0.87 ± 0.002  ,0.869 ± 0.001 ,0.87 ± 0.002  ,0.869 ± 0.001 ,0.8839 ± 0.0005 ,0.88 ± 0.002  ,0.88 ± 0.001  ,0.884 ± 0.001 ,0.883 ± 0.001 ,0.881 ± 0.002 ,0.8806 ± 0.0005 ,0.8684 ± 0.0009 ,0.868 ± 0.005 ,0.869 ± 0.001 ,0.869 ± 0.001 ,0.87 ± 0.001  ,0.867 ± 0.002 ,0.869 ± 0.001 ,0.8697 ± 0.0003 ,0.87 ± 0.002  ,0.869 ± 0.0008  ,0.8696 ± 0.0008 ,0.869 ± 0.001 ,0.868 ± 0.002 ,0.8702 ± 0.0008
IntDiv2     ,0.8765 ± 0.0008 ,0.879 ± 0.001 ,0.8715 ± 0.0006 ,0.8734 ± 0.0009 ,0.8761 ± 0.0009 ,0.8772 ± 0.001 ,0.871 ± 0.001 ,0.8729 ± 0.0007 ,0.866 ± 0.001 ,0.866 ± 0.001 ,0.867 ± 0.001 ,0.866 ± 0.0009  ,0.865 ± 0.001 ,0.8648 ± 0.0008 ,0.8656 ± 0.0008 ,0.8648 ± 0.0009 ,0.865 ± 0.002 ,0.864 ± 0.001 ,0.864 ± 0.002 ,0.864 ± 0.002 ,0.864 ± 0.002 ,0.863 ± 0.001 ,0.865 ± 0.001 ,0.863 ± 0.001 ,0.8792 ± 0.0004 ,0.875 ± 0.002 ,0.875 ± 0.001 ,0.88 ± 0.001  ,0.878 ± 0.001 ,0.876 ± 0.002 ,0.8756 ± 0.0005 ,0.8629 ± 0.0008 ,0.862 ± 0.004 ,0.863 ± 0.001 ,0.864 ± 0.002 ,0.864 ± 0.001 ,0.862 ± 0.002 ,0.864 ± 0.001 ,0.8641 ± 0.0003 ,0.864 ± 0.002 ,0.8634 ± 0.0008 ,0.864 ± 0.0007  ,0.864 ± 0.001 ,0.863 ± 0.002 ,0.8646 ± 0.0007
Filters     ,0.59 ± 0.02     ,0.55 ± 0.01   ,0.68 ± 0.01     ,0.65 ± 0.01     ,0.6 ± 0.02      ,0.574 ± 0.007  ,0.683 ± 0.009 ,0.67 ± 0.02     ,0.827 ± 0.009 ,0.812 ± 0.01  ,0.841 ± 0.006 ,0.838 ± 0.009   ,0.83 ± 0.01   ,0.821 ± 0.005   ,0.839 ± 0.004   ,0.83 ± 0.02     ,0.847 ± 0.006 ,0.85 ± 0.01   ,0.84 ± 0.01   ,0.847 ± 0.007 ,0.844 ± 0.006 ,0.848 ± 0.007 ,0.845 ± 0.01  ,0.84 ± 0.01   ,0.46 ± 0.01     ,0.57 ± 0.01   ,0.578 ± 0.008 ,0.44 ± 0.04   ,0.47 ± 0.01   ,0.56 ± 0.05   ,0.6 ± 0.03      ,0.83 ± 0.01     ,0.82 ± 0.03   ,0.849 ± 0.005 ,0.82 ± 0.05   ,0.84 ± 0.01   ,0.84 ± 0.02   ,0.844 ± 0.007 ,0.845 ± 0.006   ,0.847 ± 0.007 ,0.845 ± 0.006   ,0.843 ± 0.006   ,0.839 ± 0.007 ,0.838 ± 0.002 ,0.848 ± 0.004
logP        ,1.3 ± 0.1       ,0.23 ± 0.1    ,0.12 ± 0.05     ,0.15 ± 0.08     ,0.2 ± 0.1       ,1.3 ± 0.1      ,1.4 ± 0.1     ,1.3 ± 0.2       ,1.46 ± 0.08   ,0.13 ± 0.04   ,0.11 ± 0.04   ,0.13 ± 0.04     ,0.12 ± 0.05   ,1.44 ± 0.06     ,1.4 ± 0.08      ,1.43 ± 0.06     ,1.3 ± 0.1     ,0.12 ± 0.05   ,0.15 ± 0.07   ,0.16 ± 0.09   ,0.11 ± 0.03   ,1.4 ± 0.1     ,1.4 ± 0.06    ,1.42 ± 0.08   ,0.34 ± 0.09     ,0.3 ± 0.2     ,0.2 ± 0.09    ,0.3 ± 0.1     ,1.2 ± 0.1     ,1.4 ± 0.5     ,1.39 ± 0.09     ,0.14 ± 0.03     ,0.4 ± 0.2     ,0.08 ± 0.03   ,0.2 ± 0.2     ,1.4 ± 0.2     ,1.5 ± 0.3     ,1.44 ± 0.09   ,0.11 ± 0.03     ,0.2 ± 0.2     ,0.12 ± 0.05     ,0.2 ± 0.1       ,1.36 ± 0.02   ,1.4 ± 0.3     ,1.38 ± 0.09
SA          ,1.34 ± 0.09     ,0.95 ± 0.03   ,0.53 ± 0.02     ,0.6 ± 0.05      ,0.75 ± 0.1      ,1.35 ± 0.05    ,1.0 ± 0.03    ,1.07 ± 0.05     ,0.6 ± 0.06    ,0.13 ± 0.03   ,0.06 ± 0.02   ,0.05 ± 0.02     ,0.09 ± 0.04   ,0.58 ± 0.04     ,0.57 ± 0.06     ,0.55 ± 0.03     ,0.49 ± 0.03   ,0.04 ± 0.02   ,0.05 ± 0.03   ,0.05 ± 0.03   ,0.03 ± 0.01   ,0.52 ± 0.04   ,0.53 ± 0.02   ,0.52 ± 0.02   ,1.13 ± 0.04     ,0.78 ± 0.09   ,0.74 ± 0.04   ,1.1 ± 0.1     ,1.58 ± 0.05   ,1.3 ± 0.2     ,1.21 ± 0.09     ,0.05 ± 0.02     ,0.1 ± 0.06    ,0.05 ± 0.03   ,0.2 ± 0.1     ,0.48 ± 0.06   ,0.5 ± 0.1     ,0.5 ± 0.02    ,0.04 ± 0.02     ,0.08 ± 0.09   ,0.05 ± 0.03     ,0.03 ± 0.02     ,0.48 ± 0.03   ,0.44 ± 0.09   ,0.48 ± 0.03
QED         ,0.3 ± 0.02      ,0.039 ± 0.009 ,0.017 ± 0.005   ,0.023 ± 0.004   ,0.03 ± 0.01     ,0.301 ± 0.009  ,0.3 ± 0.02    ,0.288 ± 0.01    ,0.26 ± 0.02   ,0.01 ± 0.01   ,0.02 ± 0.02   ,0.02 ± 0.01     ,0.02 ± 0.01   ,0.272 ± 0.009   ,0.265 ± 0.005   ,0.27 ± 0.01     ,0.25 ± 0.02   ,0.02 ± 0.02   ,0.015 ± 0.006 ,0.02 ± 0.02   ,0.013 ± 0.007 ,0.27 ± 0.02   ,0.265 ± 0.009 ,0.27 ± 0.01   ,0.03 ± 0.01     ,0.022 ± 0.008 ,0.019 ± 0.003 ,0.04 ± 0.03   ,0.31 ± 0.01   ,0.29 ± 0.04   ,0.28 ± 0.02     ,0.02 ± 0.006    ,0.06 ± 0.02   ,0.02 ± 0.01   ,0.046 ± 0.01  ,0.24 ± 0.02   ,0.27 ± 0.03   ,0.253 ± 0.009 ,0.016 ± 0.008   ,0.04 ± 0.02   ,0.02 ± 0.01     ,0.02 ± 0.02     ,0.26 ± 0.01   ,0.25 ± 0.03   ,0.258 ± 0.009
weight      ,112.0 ± 7.0     ,9.0 ± 4.0     ,5.0 ± 2.0       ,5.0 ± 4.0       ,6.0 ± 5.0       ,109.0 ± 3.0    ,121.0 ± 7.0   ,115.0 ± 5.0     ,109.0 ± 9.0   ,9.0 ± 7.0     ,15.0 ± 9.0    ,17.0 ± 9.0      ,11.0 ± 3.0    ,114.0 ± 5.0     ,111.0 ± 4.0     ,113.0 ± 5.0     ,100.0 ± 10.0  ,10.0 ± 10.0   ,7.0 ± 4.0     ,11.0 ± 10.0   ,8.0 ± 3.0     ,114.0 ± 9.0   ,112.0 ± 5.0   ,115.0 ± 7.0   ,9.0 ± 4.0       ,6.0 ± 2.0     ,5.0 ± 3.0     ,18.0 ± 8.0    ,113.0 ± 6.0   ,110.0 ± 20.0  ,109.0 ± 7.0     ,14.0 ± 4.0      ,31.0 ± 9.0    ,14.0 ± 4.0    ,29.0 ± 9.0    ,100.0 ± 10.0  ,120.0 ± 20.0  ,108.0 ± 5.0   ,10.0 ± 6.0      ,24.0 ± 10.0   ,10.0 ± 4.0      ,12.0 ± 9.0      ,108.0 ± 7.0   ,100.0 ± 20.0  ,108.0 ± 4.0
